,index,year,bmi,Vape_Use,Physical_Activity,Television,Electronic_Devices,Grades,race,sex,weight,marijuana_use,cyber_bullied
7910,183215,2015,18.9626,1,7,2.0,0.0,2,1,1,53.52,1,1
7911,183216,2015,21.9723,1,6,0.0,0.0,1,1,1,63.5,1,1
7912,183217,2015,28.6575,2,4,0.0,4.0,1,3,1,78.02,2,2
7913,183218,2015,25.5237,2,0,2.0,2.0,2,1,1,58.97,1,2
7914,183219,2015,19.8438,2,7,0.5,5.0,2,3,1,50.8,2,1
7915,183220,2015,25.8711,2,6,1.0,2.0,1,3,1,66.23,2,2
7916,183221,2015,27.2852,2,2,0.0,5.0,2,1,1,69.85,2,1
7917,183222,2015,20.7305,2,2,0.0,1.0,1,1,1,53.07,2,2
7918,183223,2015,22.9804,1,3,2.0,4.0,1,3,1,64.86,1,1
7919,183224,2015,18.8803,2,4,4.0,0.0,1,3,1,45.36,2,2
7920,183225,2015,19.8252,2,0,3.0,0.0,2,1,1,47.63,2,2
7921,183226,2015,20.2442,2,7,0.0,2.0,1,4,1,49.9,2,2
7922,183227,2015,20.7347,2,3,0.0,4.0,1,1,1,63.5,2,2
7923,183228,2015,22.5375,2,0,3.0,5.0,2,1,1,59.88,2,1
7924,183229,2015,21.1903,1,4,0.5,2.0,1,1,1,61.24,1,2
7925,183230,2015,20.7306,2,0,3.0,0.5,1,1,1,58.51,2,2
7926,183231,2015,23.3721,2,7,0.0,3.0,1,3,1,57.61,1,2
7927,183232,2015,23.2188,2,3,0.0,5.0,1,1,1,61.69,2,2
7928,183233,2015,27.3176,2,5,0.5,5.0,1,1,1,72.58,2,1
7929,183234,2015,21.5234,1,6,0.5,5.0,7,3,1,51.71,1,2
7930,183235,2015,23.2109,2,2,2.0,3.0,2,1,1,59.42,2,2
7931,183236,2015,20.2442,1,6,1.0,3.0,1,1,1,49.9,2,2
7932,183237,2015,19.1511,2,2,5.0,0.5,2,3,1,43.09,2,2
7933,183239,2015,29.3495,2,7,0.5,0.0,3,1,1,84.82,2,1
7934,183240,2015,19.285,2,5,0.0,3.0,1,1,1,54.43,2,2
7935,183241,2015,25.7617,2,4,4.0,0.5,2,1,1,63.5,2,1
7936,183242,2015,20.9063,2,3,0.0,2.0,1,4,1,53.52,2,2
7937,183243,2015,20.375,1,1,5.0,5.0,1,1,1,52.16,2,2
7938,183244,2015,26.6817,1,2,0.5,5.0,2,1,1,77.11,1,1
7939,183245,2015,21.4414,1,1,0.0,4.0,2,1,1,54.89,1,1
7940,183246,2015,16.832,2,6,3.0,0.5,1,1,1,43.09,2,2
7941,183247,2015,19.9967,2,7,0.5,4.0,3,1,1,61.24,1,1
7942,183248,2015,16.73,2,7,0.5,5.0,1,1,1,44.45,2,2
7943,183249,2015,28.1579,2,7,3.0,0.0,1,1,1,76.66,2,1
7944,183250,2015,19.5059,1,4,1.0,0.5,2,1,1,48.08,1,1
7945,183251,2015,25.1142,2,0,5.0,5.0,3,1,1,72.58,2,2
7946,183252,2015,29.0311,2,7,0.5,0.0,1,3,1,65.32,2,1
7947,183253,2015,21.9723,1,6,1.0,0.0,6,1,1,63.5,2,2
7948,183254,2015,27.4024,1,1,0.0,5.0,2,1,1,83.92,1,1
7949,183255,2015,32.9471,1,7,3.0,5.0,2,3,1,92.99,1,2
7950,183257,2015,22.1778,2,0,0.0,5.0,1,1,1,49.9,2,1
7951,183258,2015,18.6437,2,5,1.0,4.0,1,1,1,52.62,2,2
7952,183260,2015,20.375,2,7,0.5,2.0,1,3,1,52.16,2,1
7953,183261,2015,23.0352,1,7,0.5,0.0,4,1,1,58.97,1,2
7954,183262,2015,21.5209,2,3,2.0,3.0,1,1,1,64.41,2,2
7955,183263,2015,22.7338,2,6,3.0,0.5,2,1,1,68.04,2,2
7956,183264,2015,19.8277,1,5,3.0,4.0,3,1,1,45.81,2,2
7957,183265,2015,29.5344,1,4,0.0,5.0,5,3,1,78.47,1,2
7958,183266,2015,16.6563,1,2,0.0,3.0,1,1,1,42.64,2,2
7959,183268,2015,17.7538,2,1,5.0,5.0,2,1,1,47.17,2,2
7960,183269,2015,19.285,2,2,0.5,0.5,2,1,1,54.43,2,2
7961,183270,2015,21.6172,1,2,0.0,0.0,3,1,1,55.34,1,1
7962,183271,2015,20.4709,1,4,0.5,1.0,7,1,1,64.86,1,1
7963,183272,2015,20.8288,1,7,0.0,0.0,1,1,1,55.34,2,2
7964,183273,2015,38.6773,1,0,3.0,0.0,2,3,1,89.36,1,2
7965,183274,2015,24.8086,2,1,2.0,2.0,1,1,1,52.16,2,2
7966,183275,2015,20.3913,2,0,0.0,3.0,1,1,1,48.99,2,1
7967,183276,2015,28.9293,2,0,0.0,0.5,1,1,1,81.65,2,2
7968,183277,2015,19.7669,2,7,0.0,0.0,2,1,1,55.79,2,2
7969,183279,2015,30.3117,1,7,2.0,1.0,2,3,1,90.72,2,2
7970,183280,2015,18.3287,1,3,0.5,5.0,2,1,1,49.9,1,2
7971,183281,2015,21.8525,2,7,0.0,0.0,2,1,1,58.06,2,2
7972,183282,2015,23.1648,1,0,5.0,5.0,2,3,1,53.52,1,2
7973,183283,2015,18.0332,2,1,5.0,1.0,3,3,1,44.45,2,2
7974,183284,2015,23.7422,1,3,4.0,0.0,2,1,1,60.78,2,2
7975,183285,2015,22.8794,2,0,0.0,0.0,3,3,1,49.44,2,2
7976,183286,2015,19.6194,1,2,0.0,3.0,1,1,1,56.7,2,1
7977,183287,2015,20.5711,2,7,0.5,0.0,1,3,1,58.06,2,2
7978,183288,2015,21.2169,2,1,0.5,5.0,1,1,1,63.5,2,2
7979,183289,2015,17.4814,2,2,3.0,2.0,1,3,1,43.09,2,2
7980,183290,2015,20.5547,1,3,0.5,0.5,2,1,1,52.62,1,2
7981,183291,2015,23.0352,1,3,5.0,5.0,2,4,1,58.97,2,2
7982,183292,2015,23.3721,1,4,5.0,0.0,2,3,1,57.61,1,2
7983,183293,2015,21.9022,1,4,0.5,0.0,1,1,1,52.62,1,2
7984,183294,2015,23.003,1,4,3.0,0.5,2,1,1,56.7,1,2
7985,183295,2015,28.2526,2,5,4.0,5.0,1,1,1,81.65,2,2
7986,183296,2015,17.9355,2,7,2.0,4.0,2,3,1,43.09,2,2
7987,183298,2015,23.8237,1,3,0.5,3.0,1,3,1,64.86,1,2
7988,183299,2015,34.0669,2,1,1.0,0.5,1,1,1,104.33,2,2
7989,183300,2015,21.4011,2,5,0.5,3.0,3,1,1,71.67,2,2
7990,183302,2015,16.6612,2,7,0.0,2.0,1,1,1,45.36,2,2
7991,183303,2015,21.2617,1,0,3.0,0.0,2,1,1,54.43,2,2
7992,183304,2015,22.4429,2,0,3.0,1.0,2,1,1,64.86,2,2
7993,183305,2015,26.6826,1,3,3.0,2.0,1,1,1,65.77,1,2
7994,183306,2015,34.5515,2,3,0.5,0.5,1,3,1,83.01,2,2
7995,183308,2015,19.5556,1,7,1.0,3.0,2,4,1,44,2,2
7996,183309,2015,19.9927,2,4,0.5,0.0,1,4,1,54.43,2,1
7997,183310,2015,20.4618,2,4,2.0,4.0,1,1,1,61.24,2,2
7998,183311,2015,19.285,2,7,2.0,2.0,1,4,1,54.43,2,1
7999,183312,2015,18.9626,2,0,0.5,1.0,2,3,1,53.52,2,2
8000,183313,2015,22.8763,2,1,0.5,5.0,2,3,1,60.78,2,2
8001,183316,2015,19.8274,2,4,2.0,2.0,2,3,1,53.98,2,2
8002,183317,2015,27.4844,2,4,1.0,3.0,1,3,1,63.5,2,2
8003,183318,2015,39.2676,1,5,1.0,2.0,7,3,1,104.33,1,2
8004,183319,2015,22.9936,1,5,0.5,0.0,2,1,1,62.6,2,2
8005,183321,2015,19.3556,1,5,2.0,0.0,2,3,1,43.55,2,2
